?column?|url|c
1|http://irr.ru/index.php?showalbum/login-leniya7777294,938303130|90604
1|http:%2F%2Fdlia-zhienskaia-moda-tunika|64857
1|http://komme%2F27.0.1453.116|43456
1|http:%2F%2Fwwww.bonprix.ru/mosclinindzya|40765
1|http://irr.ru/index.php?showalbum/login-kapusta-advert2668]=0&order_by=0|15388
1|http%3A//masterh5.adriver.ru/perm.irr|14665
1|http://irr.ru/index.php?showalbum/login-kapustic/product_name|14484
1|http://smeshariki.ru/login-157|13081
1|http://kompl-b-p-2308|11629
1|https://produkty%2Fproduct|11464
